Website URL,Contact Page,Emails
https://www.vijayasaradhifeeds.com/,https://www.vijayasaradhifeeds.com/contact/,"vijayasaradhifeeds@gmail.com, 91-7337266689vijayasaradhifeeds@gmail.comFacebook, Mailvijayasaradhifeeds@gmail.comCall"
https://www.nutrigofeeds.com/ddgs-manufacturers-andhra-pradesh/,Ignored due to 406 error,nutrigofeeds@gmail.com 
https://rudratechnofeeds.com/,No contact page found,info@rudratechnofeeds.com
https://www.coastalfeeds.com/,https://www.coastalfeeds.com/contact-shrimp-feeds/,info@coastalfeeds.com
https://www.aquafeed.com/regions/asia/avanti-feeds-starts-commercial-production-at-new-aquafeed-facility-in-andhra-pradesh/,Max retries reached,
https://indiancattlefeeds.co.in/,No contact page found,"sreemounikaindustries@gmail.comHoursTodayClosedGet, Indiasreemounikaindustries@gmail.com"
https://avantifeeds.com/contact/,https://avantifeeds.com/investor-contact/,"einward.ris@kfintech.comWebsite, feedunit1@avantifeeds.comUnit, processplant@avantifeeds.com, info.yrm@avantifrozen.com, avantiho@avantifeeds.com, investors@avantifeeds.com"
http://www.vimalafeeds.com/,Ignored due to 406 error,info@vimalafeeds.com
http://www.goldenfeeds.in/groupprofile.html,http://www.goldenfeeds.in/contactus.html,goldenfeedsindia@gmail.com
https://www.feedandadditive.com/an-outlook-on-indian-shrimp-feed-industry-and-manufacturers/,https://www.feedandadditive.com/contact/,
https://santoshimathafeedfactory.com/,Ignored due to 406 error,smff.office@gmail.com
https://nexturefeed.com/,Ignored due to 406 error,corporate@nexturefeed.com
https://www.perfectaquafeedsindia.in/,https://www.perfectaquafeedsindia.in/contact-us.htm,"salespfi@outlook.com, sriyaz4u@outlook.com"
https://ashishfeeds.in/,https://ashishfeeds.in/,ashishfeeds@yahoo.com
https://kamdhenufeeds.com/,https://kamdhenufeeds.com/contact-us/,info@kamdhenufeeds.com
https://www.zaubacorp.com/company/VALLABHA-FEEDS-PRIVATE-LIMITED/U15400AP2009PTC062478,https://www.zaubacorp.com/company/VALLABHA-FEEDS-PRIVATE-LIMITED/U15400AP2009PTC062478,vallabhafeeds@gmail.com
https://balajifeed.com/,https://balajifeed.com/,sales@balajifeed.com
https://sqfeeds.in/,https://sqfeeds.in/index.php/contact/,s.q.feeds2021@gmail.com
